,title,pros,cons,rating
0,"Доброго времени суток. Получил ноутбук через 3 дня. Вопрос магазину ""РОЗЕТКА"", заказ доставлялся через ""JUSTIN"". Пришло все в заводской упаковке с пломбой, которую не разрешили открыть на пункте выдачи, мотивируя это тем, что они получат по одному месту. КАК МНЕ ПРОВЕРИТЬ ПОСЫЛКУ НА ПРЕДМЕТ ДЕФЕКТА И КОМПЛЕКТАЦИИ? Решите этот вопрос и дайте разрешение вскрывать несмотря на заводские пломбы. По поводу самого компьютера. Это мое первое впечатление и опыт только один день. Все упаковано хорошо. Выглядит он в живую лучше чем на сайте. Windows стал хорошо. Драйвера установил с сайта. Советую не форматировать раздел диска на котором уже были драйвера. Просто разбейте диск на котором нет разметки. Ничего страшного если удалите как я)) Все решаемо и тогда милости просим на сайт тех. поддержки. С тачпадом, конечно мучение. Если не станет с сайта ACER тогда перейдите по ссылке https://community.acer.com/en/discussion/584678/touchpad-drivers-acer-aspire-a515-54g там скачаете архив, разархивируйте и установите. Пластик ""добротный"", не метал конечно, прогибы есть если сильно давить специально, но при нормальной эксплуатации вы этого не увидите. Отпечатков не остаётся на корпусе. На крышке нет зацепа, то есть нужно поддевать крышку пальцем, что бы открыть её, не продумано. Экран сочный и четкий, рамки по боках минимальны и смотрятся очень хорошо. По железу нареканий нет, брал для работы, учёбы по программированию и возможно поиграю в пару игр. Все очень шустро, SSD c процессором очень решает. Те кто хотят его, как игровое решение, мое мнение поищите другой вариант с более мощной видеокартой. Портов хватает. Звук из динамиков нормальный и чистый (бывают конечно и громче). Ход клавиш мягкий и тихий но подсветка выключается через 15 - 20 сек., что не очень удобно. По времени работы ничего не скажу так как еще не пробовал. Хорошая рабочая станция для средних и выше - средних задач. Довольный как слон. Рекомендую. Цена - качество, больше нечего добавить.","Хорошая сборка, крышка из метала, шустрый SSD диск, тонкие рамки по боках дисплея, хорошая IPS матрица, мягкий ход клавиш","Быстро выключается подсветка клавиатуры, нет зацепа на крышке, а дальше покажет время.",5
1,SSD NVMe Kingston RBUSNS8 512GB,,,5
2,Какого цвета подсветка клавиатуры?,,,5
3,  ,,,5
4,"НО!!!! Не смог купить в кредит! Так как, выбор падает только на один обслуживающий банк, которой с учётом того что я выбрал этот ноутбук, с доставкой домой, предлагает мне в условиях карантина когда не ходит общественный транспорт брать такси е ехать в один из отделений банка заражая других людей опасным вирусом или быть подвергнутым таковому, только чтобы подписать бумаги или ждать когда закончиться карантин. Это всё что может предложить мне кредитная программа компании розетка!? Конечно я не доволен! В даной ситуации, никто даже шагу не смог сделать навстречу клиенту...",Крутой,нету,5
5,"Можливо комусь трішки полегшить установку системи мій відгук. Установка, з самого початку(якщо нічого ще не видаляли): Чорний екран це UEFI загружчик (потрібен для коректного встановлення Windows.): вставте флешку з Windows, на чорному екрані (в терміналі UEFI) напишіть exit, далі натисніть enter. Вас перекине на екран вибору звідки завантажувати Windows вибираєте свою флешку. При виборі кастомної установки вибираєте пустий розділ для установки, на першому розділі диску знаходиться сам UEFI загружчик, в розділі WINDRIVER знаходяться драйвера на ноутбук -- не видаляйте їх. Для мене вони виявилися найбільш коректними ніж при автоматичному встановленні за допомогою Windows update. При установці Windows не підключала інтернет, щоб не завантажувалися не коректні драйвера(можливо виробник пофіксить, але наразі так). На WINDRIVER знаходиться образ диску з драйверами тому клікаєте на нього Windows зайде >> в папці Autoran >> autoranX >> autoranX (application) перший драйвер встановлюйте чіпсет далі по черзі всі, коли просить перезавантажити - робіть.","Швидкий, екран гарної якості, батарея тримає довго(офісна робота), легкий","Треба розбиратися з установкою системи, тричі ставила Windows. Виробник радить установку драйверів автоматично з їхнього сайту та працює не коректно(у моєму випадку))",4
6,"Забрали ноут вчера. Поставили видндоус. Все вроде как работает но сегодня возникла уже первая проблема. И ещё одна проблема была видна вчера и не знаю как ее решить. Указано что процессор работает в частоте от 1.6 до 4.2 но система показывает что проц поддерживает частоту от 1.6 до 2.11. Вопрос к представителю Acer, с чем это связано и как это решить?",,,3
7,"Доброго дня. Питання до представника. Коли запускаю якусь гру - ноутбук веде себе неадекватно. Лаги і тремтіння звуку і картинки. Добре видно на WOT. Думав що проблема у відеокарті. Встановив найновіші драйвера і все запрацювало, але на наступний день те ж саме. Скажіть, це проблема з відеокартою, чи це можна якось вирішити?",Ціна - залізо,Танці з бубном.,3
8,"Приобрёл сей девайс, радость была до первого запуска. Создав загрузочную флешку (руфус 3.9) с вин10 столкнулся с первой проблемой, Boot security. Погуглив с пол часа и посмотрев видео в тубе, нашел решение, загрузился с флешки и... Не видит он SSD от слова ВООБЩЕ!!! Пишет что ""Нам не удалось найти драйверы. Чтобы получить драйвер запоминающего устройства, нажмите кнопку 'загрузить драйвер'."" В начале установки где идёт выбор языка комбинацией клавиш Shift+F10 и прописью в командной строке Diskpart и list disk не отображает накопитель! Только флешку. Ну дамаю, может это винда... А нет, 3 других сборки показали ту же проблему! Завтра везу в сервис...",тонет быстро!,,1
9,"Хто може підказати в чому може бути причина такого, як у відео?",Ціна - залізо,Глюки відеокарти,1
